nohup: ignoring input
1
      From worker 2:	Running on 1 Julia thread(s) [BLAS threads: 1]
      From worker 2:	Training on CPU.
      From worker 2:	No path to external inputs provided, initializing vanilla Dataset.
      From worker 2:	Model / # Parameters: clippedShallowPLRNN{Vector{Float32}, Matrix{Float32}} / 26432
      From worker 2:	Obs. Model / # Parameters: Affine{Matrix{Float32}, Vector{Float32}} / 256
      From worker 2:	Using GTF with initial α = 0.4 and annealing method: product_upper_bound (γ = 1.0, k = 5)
      From worker 2:	Partial forcing set to: true (N = 16, M = 16)
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 5/5000 took 65.08s | ETA 11:48:40 | ∑L 0.31616402 | Lₜᵣ 0.31610084 | Lᵣ 6.3169355e-5 | Dₛₜₛₚ (GMM) 8.318 | Dₕ 0.575 | PE(20) 0.8647934 | α 0.4 | cond(B) 19.4 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 10/5000 took 56.89s | ETA 02:41:29 | ∑L 0.11085821 | Lₜᵣ 0.110813215 | Lᵣ 4.4996625e-5 | Dₛₜₛₚ (GMM) 12.668 | Dₕ 0.483 | PE(20) 0.5229404 | α 0.4 | cond(B) 12.057 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 15/5000 took 57.01s | ETA 22:59:43 | ∑L 0.09804994 | Lₜᵣ 0.09800925 | Lᵣ 4.0684048e-5 | Dₛₜₛₚ (GMM) 15.74 | Dₕ 0.258 | PE(20) 0.542381 | α 0.4 | cond(B) 8.965 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 20/5000 took 57.12s | ETA 20:33:11 | ∑L 0.08256342 | Lₜᵣ 0.08252357 | Lᵣ 3.9856277e-5 | Dₛₜₛₚ (GMM) 10.853 | Dₕ 0.33 | PE(20) 0.5582324 | α 0.4 | cond(B) 7.323 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 25/5000 took 55.71s | ETA 15:17:06 | ∑L 0.077795155 | Lₜᵣ 0.077754006 | Lᵣ 4.1146082e-5 | Dₛₜₛₚ (GMM) 9.282 | Dₕ 0.273 | PE(20) 0.5985805 | α 0.4 | cond(B) 6.651 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 30/5000 took 56.83s | ETA 12:10:33 | ∑L 0.06384885 | Lₜᵣ 0.06380536 | Lᵣ 4.3499174e-5 | Dₛₜₛₚ (GMM) 9.194 | Dₕ 0.313 | PE(20) 0.6419879 | α 0.415 | cond(B) 6.2 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 35/5000 took 55.0s | ETA 08:52:09 | ∑L 0.060388133 | Lₜᵣ 0.06034151 | Lᵣ 4.6620586e-5 | Dₛₜₛₚ (GMM) 2.382 | Dₕ 0.254 | PE(20) 0.68290514 | α 0.437 | cond(B) 5.849 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 40/5000 took 56.8s | ETA 06:37:45 | ∑L 0.055289607 | Lₜᵣ 0.055239394 | Lᵣ 5.021433e-5 | Dₛₜₛₚ (GMM) 2.129 | Dₕ 0.318 | PE(20) 0.7226358 | α 0.458 | cond(B) 5.54 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 45/5000 took 54.77s | ETA 03:25:17 | ∑L 0.046319462 | Lₜᵣ 0.046265334 | Lᵣ 5.4128708e-5 | Dₛₜₛₚ (GMM) 1.398 | Dₕ 0.286 | PE(20) 0.759566 | α 0.48 | cond(B) 5.267 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 50/5000 took 56.46s | ETA 01:39:22 | ∑L 0.04778331 | Lₜᵣ 0.047725108 | Lᵣ 5.8205773e-5 | Dₛₜₛₚ (GMM) 1.33 | Dₕ 0.318 | PE(20) 0.7793046 | α 0.498 | cond(B) 5.032 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 55/5000 took 55.83s | ETA 23:26:18 | ∑L 0.046875432 | Lₜᵣ 0.046813004 | Lᵣ 6.242846e-5 | Dₛₜₛₚ (GMM) 1.226 | Dₕ 0.304 | PE(20) 0.8090791 | α 0.514 | cond(B) 4.826 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 60/5000 took 56.75s | ETA 21:49:02 | ∑L 0.042618915 | Lₜᵣ 0.04255215 | Lᵣ 6.676349e-5 | Dₛₜₛₚ (GMM) 1.045 | Dₕ 0.321 | PE(20) 0.8413654 | α 0.531 | cond(B) 4.643 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 65/5000 took 55.67s | ETA 19:47:58 | ∑L 0.041454062 | Lₜᵣ 0.04138297 | Lᵣ 7.1092516e-5 | Dₛₜₛₚ (GMM) 1.533 | Dₕ 0.324 | PE(20) 0.85941017 | α 0.542 | cond(B) 4.478 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 70/5000 took 56.1s | ETA 18:21:58 | ∑L 0.037494026 | Lₜᵣ 0.03741861 | Lᵣ 7.541566e-5 | Dₛₜₛₚ (GMM) 1.627 | Dₕ 0.334 | PE(20) 0.8895142 | α 0.558 | cond(B) 4.332 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 75/5000 took 55.98s | ETA 16:53:45 | ∑L 0.03821869 | Lₜᵣ 0.03813897 | Lᵣ 7.97162e-5 | Dₛₜₛₚ (GMM) 1.515 | Dₕ 0.322 | PE(20) 0.91026056 | α 0.569 | cond(B) 4.206 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 80/5000 took 55.26s | ETA 15:23:11 | ∑L 0.039904866 | Lₜᵣ 0.03982085 | Lᵣ 8.4015715e-5 | Dₛₜₛₚ (GMM) 1.514 | Dₕ 0.341 | PE(20) 0.9266372 | α 0.58 | cond(B) 4.086 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 85/5000 took 55.81s | ETA 14:20:31 | ∑L 0.03487168 | Lₜᵣ 0.034783516 | Lᵣ 8.8161665e-5 | Dₛₜₛₚ (GMM) 1.559 | Dₕ 0.357 | PE(20) 0.9492595 | α 0.59 | cond(B) 3.985 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 90/5000 took 55.78s | ETA 13:15:47 | ∑L 0.03539486 | Lₜᵣ 0.035302646 | Lᵣ 9.221096e-5 | Dₛₜₛₚ (GMM) 1.498 | Dₕ 0.331 | PE(20) 0.9585563 | α 0.6 | cond(B) 3.892 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 95/5000 took 56.17s | ETA 12:24:36 | ∑L 0.032945942 | Lₜᵣ 0.03284983 | Lᵣ 9.6111915e-5 | Dₛₜₛₚ (GMM) 1.541 | Dₕ 0.342 | PE(20) 0.97231233 | α 0.608 | cond(B) 3.81 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 100/5000 took 55.88s | ETA 11:27:56 | ∑L 0.034459252 | Lₜᵣ 0.034359325 | Lᵣ 9.992595e-5 | Dₛₜₛₚ (GMM) 1.391 | Dₕ 0.36 | PE(20) 0.98488516 | α 0.616 | cond(B) 3.739 
