nohup: ignoring input
1
      From worker 2:	Running on 1 Julia thread(s) [BLAS threads: 1]
      From worker 2:	Training on CPU.
      From worker 2:	No path to external inputs provided, initializing vanilla Dataset.
      From worker 2:	Model / # Parameters: clippedShallowPLRNN{Vector{Float32}, Matrix{Float32}} / 26432
      From worker 2:	Obs. Model / # Parameters: Affine{Matrix{Float32}, Vector{Float32}} / 256
      From worker 2:	Using GTF with initial α = 0.3 and annealing method: product_upper_bound (γ = 1.0, k = 5)
      From worker 2:	Partial forcing set to: true (N = 16, M = 16)
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 5/5000 took 63.42s | ETA 23:19:02 | ∑L 0.26484904 | Lₜᵣ 0.2647302 | Lᵣ 0.00011883929 | Dₛₜₛₚ (GMM) 10.127 | Dₕ 0.506 | PE(20) 0.5432856 | α 0.3 | cond(B) 30.867 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 10/5000 took 59.31s | ETA 17:10:36 | ∑L 0.14747623 | Lₜᵣ 0.1474222 | Lᵣ 5.4032316e-5 | Dₛₜₛₚ (GMM) 9.132 | Dₕ 0.316 | PE(20) 0.5069643 | α 0.3 | cond(B) 16.151 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 15/5000 took 58.86s | ETA 14:24:31 | ∑L 0.09672107 | Lₜᵣ 0.096680686 | Lᵣ 4.0382678e-5 | Dₛₜₛₚ (GMM) 15.513 | Dₕ 0.767 | PE(20) 0.53828967 | α 0.3 | cond(B) 10.077 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 20/5000 took 59.97s | ETA 12:57:56 | ∑L 0.08003322 | Lₜᵣ 0.07999478 | Lᵣ 3.843812e-5 | Dₛₜₛₚ (GMM) 4.705 | Dₕ 0.296 | PE(20) 0.61215144 | α 0.335 | cond(B) 7.757 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 25/5000 took 59.2s | ETA 09:15:19 | ∑L 0.070546806 | Lₜᵣ 0.0705071 | Lᵣ 3.9700597e-5 | Dₛₜₛₚ (GMM) 2.802 | Dₕ 0.266 | PE(20) 0.6865429 | α 0.364 | cond(B) 6.773 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 30/5000 took 58.73s | ETA 06:45:06 | ∑L 0.066341095 | Lₜᵣ 0.06629881 | Lᵣ 4.2280586e-5 | Dₛₜₛₚ (GMM) 1.586 | Dₕ 0.263 | PE(20) 0.7309754 | α 0.392 | cond(B) 6.094 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 35/5000 took 59.58s | ETA 05:04:15 | ∑L 0.053211723 | Lₜᵣ 0.05316625 | Lᵣ 4.5470348e-5 | Dₛₜₛₚ (GMM) 3.011 | Dₕ 0.308 | PE(20) 0.82361805 | α 0.415 | cond(B) 5.566 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 40/5000 took 58.34s | ETA 02:48:05 | ∑L 0.048008487 | Lₜᵣ 0.047959458 | Lᵣ 4.902782e-5 | Dₛₜₛₚ (GMM) 1.302 | Dₕ 0.312 | PE(20) 0.82965916 | α 0.438 | cond(B) 5.15 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 45/5000 took 58.89s | ETA 01:05:00 | ∑L 0.050381847 | Lₜᵣ 0.050329022 | Lᵣ 5.2824267e-5 | Dₛₜₛₚ (GMM) 1.744 | Dₕ 0.34 | PE(20) 0.8876795 | α 0.46 | cond(B) 4.802 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 50/5000 took 59.07s | ETA 23:33:59 | ∑L 0.04672777 | Lₜᵣ 0.046671018 | Lᵣ 5.675126e-5 | Dₛₜₛₚ (GMM) 1.163 | Dₕ 0.334 | PE(20) 0.91005856 | α 0.479 | cond(B) 4.523 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 55/5000 took 59.09s | ETA 22:03:34 | ∑L 0.042346213 | Lₜᵣ 0.04228557 | Lᵣ 6.0644954e-5 | Dₛₜₛₚ (GMM) 1.207 | Dₕ 0.335 | PE(20) 0.9524907 | α 0.499 | cond(B) 4.302 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 60/5000 took 59.11s | ETA 20:41:55 | ∑L 0.041792758 | Lₜᵣ 0.041728135 | Lᵣ 6.462227e-5 | Dₛₜₛₚ (GMM) 1.644 | Dₕ 0.358 | PE(20) 0.98501915 | α 0.513 | cond(B) 4.119 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 65/5000 took 58.91s | ETA 19:25:04 | ∑L 0.0382673 | Lₜᵣ 0.038198695 | Lᵣ 6.8604735e-5 | Dₛₜₛₚ (GMM) 1.863 | Dₕ 0.342 | PE(20) 0.99557245 | α 0.527 | cond(B) 3.969 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 70/5000 took 58.67s | ETA 18:12:58 | ∑L 0.035648413 | Lₜᵣ 0.03557586 | Lᵣ 7.255405e-5 | Dₛₜₛₚ (GMM) 1.659 | Dₕ 0.342 | PE(20) 1.0105606 | α 0.542 | cond(B) 3.842 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 75/5000 took 58.64s | ETA 17:09:36 | ∑L 0.037936993 | Lₜᵣ 0.03786066 | Lᵣ 7.632993e-5 | Dₛₜₛₚ (GMM) 2.141 | Dₕ 0.347 | PE(20) 1.0572226 | α 0.552 | cond(B) 3.735 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 80/5000 took 59.25s | ETA 16:26:17 | ∑L 0.034211714 | Lₜᵣ 0.034131847 | Lᵣ 7.9868245e-5 | Dₛₜₛₚ (GMM) 2.157 | Dₕ 0.364 | PE(20) 1.0712994 | α 0.563 | cond(B) 3.644 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 85/5000 took 58.63s | ETA 15:25:00 | ∑L 0.033830225 | Lₜᵣ 0.03374698 | Lᵣ 8.324357e-5 | Dₛₜₛₚ (GMM) 1.752 | Dₕ 0.365 | PE(20) 1.0582837 | α 0.573 | cond(B) 3.564 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 90/5000 took 59.0s | ETA 14:44:48 | ∑L 0.03590875 | Lₜᵣ 0.035822123 | Lᵣ 8.662866e-5 | Dₛₜₛₚ (GMM) 1.969 | Dₕ 0.394 | PE(20) 1.0748743 | α 0.582 | cond(B) 3.495 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 95/5000 took 58.69s | ETA 13:58:08 | ∑L 0.033527046 | Lₜᵣ 0.03343711 | Lᵣ 8.993472e-5 | Dₛₜₛₚ (GMM) 1.819 | Dₕ 0.37 | PE(20) 1.0948281 | α 0.59 | cond(B) 3.434 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.2/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 100/5000 took 58.76s | ETA 13:22:46 | ∑L 0.03205965 | Lₜᵣ 0.031966604 | Lᵣ 9.304493e-5 | Dₛₜₛₚ (GMM) 1.764 | Dₕ 0.384 | PE(20) 1.0865122 | α 0.598 | cond(B) 3.377 
